Customer_ID,Age,Annual_Income_k$,Total_Spend_k$,Purchase_Frequency_Per_Month,Transaction_Amount,Login_Attempts,Is_Fraud
1110,41,66,4,2,1958.8944818811478,4,1
1111,28,102,20,4,519.2429442901351,2,0
1112,68,69,6,12,920.3884725075525,4,0
1113,34,60,6,13,436.45776741580653,1,0
1114,25,46,11,5,990.3756776718434,4,0
1115,52,69,17,14,1513.2530820180382,4,1
1116,52,110,24,1,1044.598518517518,3,0
1117,50,147,3,6,574.8694970825202,4,0
1118,22,50,13,2,500.5512344242065,2,0
1119,59,124,22,14,1519.0741404229716,5,1
1120,56,120,3,5,240.88516057389523,4,0
1121,58,72,16,6,743.0831563397096,4,0
1122,45,53,15,11,307.2080197245013,4,0
1123,24,94,11,8,519.6617794424915,3,0
1124,26,111,18,9,309.60304880747964,5,0
1125,25,127,15,13,1774.1111545421413,3,0
1126,29,75,5,12,1465.1488770309984,3,0
1127,51,20,16,6,1124.0498558583015,3,0
1128,50,123,16,5,452.72831887858854,2,0
1129,65,49,17,12,1022.9025202623938,5,0
1130,40,53,9,4,1044.062246862907,2,0
1131,41,132,23,2,1182.855432679543,2,0
1132,54,19,3,2,124.86988865934923,5,0
1133,52,101,20,7,1945.939432537429,2,0
1134,61,90,13,5,933.5507463476447,5,0
1135,57,71,22,7,1853.430889327711,4,1
1136,39,141,3,13,24.56718885438283,3,0
1137,44,43,7,11,498.8789992924413,2,0
1138,52,101,6,1,212.47116277510455,5,0
1139,18,60,9,1,1540.3842738227693,1,0
1140,52,130,12,5,643.6494739414488,2,0
1141,54,126,15,2,1681.7825542894152,2,0
1142,64,59,21,8,1665.6088046031346,5,1
1143,31,118,20,14,1337.2506116491068,1,0
1144,20,99,3,3,1333.2346980702343,1,0
1145,18,148,10,1,1401.8185856859043,4,1
1146,22,122,1,13,1349.1588500864002,2,0
1147,43,32,19,2,776.8821735802763,3,0
1148,31,108,19,10,1367.2411509142491,2,0
1149,56,47,23,10,1795.3269035387555,3,0
1150,44,140,23,7,668.4841162938642,3,0
1151,26,136,13,6,1890.0536072988325,5,1
1152,32,129,12,12,32.09526785804562,2,0
1153,32,42,1,8,701.4196638391481,5,0
1154,43,25,19,7,268.5363114488367,4,0
1155,59,61,24,14,257.6065589448222,3,0
1156,30,141,16,10,1631.7818405530786,1,0
1157,68,132,23,13,1837.1447879264952,3,0
1158,49,140,23,8,1556.6277171948063,4,1
1159,56,86,15,3,1953.348359390157,3,0
1160,66,121,16,6,436.5762954817101,5,0
1161,69,47,11,13,285.89582485833245,2,0
1162,49,33,24,7,1043.804045169029,1,0
1163,21,88,6,10,1658.9300414115228,5,1
1164,47,112,11,11,84.4789862219291,2,1
1165,54,143,3,1,1991.1534936947646,1,0
1166,40,107,15,1,1206.480628764619,4,1
1167,56,62,1,7,1957.988915301848,3,0
1168,62,78,7,13,733.337858301385,1,0
1169,32,75,1,11,918.7575219645106,4,0
1170,60,53,17,13,1505.9610775827973,2,0
1171,46,142,9,3,1586.4373988698308,1,0
1172,53,102,23,3,469.9009414337293,4,0
1173,30,40,13,5,1859.9531671839068,2,1
1174,49,31,11,11,1735.5091280602835,5,1
1175,24,85,20,6,41.31957969088114,3,0
1176,68,27,6,2,261.49337118109025,4,0
1177,39,83,1,3,994.7137272820994,5,0
1178,45,40,7,6,924.6062506557995,2,0
1179,19,63,12,3,1418.2397557944964,1,0
1180,59,21,22,14,183.9741952258029,3,0
1181,62,72,20,5,1291.4863368607676,2,0
1182,23,63,23,9,1234.6580126134918,4,1
1183,45,117,19,12,471.0710989636985,3,0
1184,45,67,17,3,1087.0759587154569,5,0
1185,61,76,4,12,448.303377956984,3,0
1186,61,31,3,11,298.11143906570965,5,0
1187,37,39,1,13,1148.4041946348707,2,0
1188,47,145,18,13,1955.0611852096379,1,0
1189,28,43,21,6,477.6820315976313,3,0
1190,45,131,15,11,713.895617963528,1,0
1191,42,40,8,5,516.8635858501432,1,0
1192,56,138,1,5,536.587344184757,3,0
1193,50,39,20,11,811.3633077024278,3,0
1194,18,68,14,14,1405.2017437479872,1,0
1195,44,87,4,14,82.41502544173557,4,0
1196,69,134,5,6,1914.4627703926926,4,1
1197,30,70,23,6,97.32835958104876,3,0
1198,58,79,13,1,1763.1000979793967,1,0
1199,20,107,24,11,1789.2843070301878,1,0
1200,56,100,15,9,1051.3559292450889,2,0
1201,23,94,6,5,278.30867309484006,1,0
1202,25,122,1,1,1132.466211261103,4,0
1203,44,132,23,8,1259.1211590061853,2,0
1204,26,97,19,7,1716.229120825187,4,1
1205,54,29,13,7,1104.0362746602916,5,0
1206,50,145,6,14,824.3652448271597,3,0
1207,68,44,15,5,1677.390931738957,5,1
1208,59,71,16,1,1961.9988357184748,3,0
1209,61,142,24,9,1291.980894290077,4,1
1210,41,62,23,11,1749.402139419105,4,1
1211,32,36,16,9,1199.4765500939832,5,0
1212,49,20,10,8,1381.1270428635598,3,0
1213,49,118,22,5,1377.893399510093,3,0
1214,41,50,9,14,1411.0500387463294,2,0
1215,58,93,9,3,645.421820637624,1,0
1216,69,130,17,8,1153.4444855620661,2,0
1217,66,71,17,1,1190.300490027722,4,0
1218,66,63,17,3,633.5678952928978,5,0
1219,69,96,24,12,702.955473568809,3,0
1220,29,80,12,11,1525.6822962083459,2,0
1221,56,91,13,7,1167.534062031412,5,0
1222,19,59,12,14,302.67624018652134,5,0
1223,20,93,14,4,1676.0857924223303,1,0
1224,66,34,10,7,1766.813002713268,3,0
1225,54,137,23,12,934.9515901758392,5,0
1226,66,81,19,11,421.7703268857392,3,0
1227,34,97,2,13,1895.474958332786,2,0
1228,66,17,4,14,1765.1277812165547,5,1
1229,19,78,19,5,492.5415839519678,5,0
1230,19,54,7,6,195.70950392388133,2,0
1231,45,73,15,14,884.103947060468,3,0
1232,40,76,15,7,1354.4119880550104,3,0
1233,54,146,24,13,354.90022751378837,5,0
1234,49,74,6,10,1028.8592535713374,2,0
1235,50,130,3,12,853.7039110736707,4,0
1236,18,89,6,7,1781.649541795084,3,0
1237,36,136,16,7,861.9854324502215,4,1
1238,19,121,2,7,1069.8839055014,5,0
1239,61,110,7,11,1910.7959610236355,4,1
1240,43,105,11,13,602.8850729197563,4,0
1241,49,144,7,13,581.536909224173,3,0
1242,23,76,4,7,1600.1921844843753,5,1
1243,49,63,24,3,558.6902773572175,4,0
1244,21,106,20,12,1664.572410796044,3,0
1245,28,138,7,3,195.5935406764817,4,0
1246,34,75,4,7,226.96618838238948,3,0
1247,55,62,12,14,1803.1401314547297,5,1
1248,41,72,5,2,1083.9205035524585,2,0
1249,22,115,23,14,1439.0344620550063,3,0
1250,69,126,19,2,454.4513392657759,3,0
1251,51,76,5,3,336.71736492230605,4,0
1252,23,53,19,14,1670.733753154117,5,1
1253,39,72,21,4,720.4536970113813,1,0
1254,28,113,3,6,912.790075148379,1,0
1255,65,58,11,13,60.80393506434117,2,0
1256,33,43,7,8,774.832064714968,5,0
1257,50,73,17,10,1542.0234272093319,3,0
1258,26,85,9,10,1643.443978685908,1,0
1259,23,106,21,7,1399.015803820671,2,0
1260,33,23,9,4,1385.8985684197658,5,1
1261,46,141,10,2,1014.94733686133,2,0
1262,20,148,13,2,1078.967011873347,1,0
1263,37,145,15,4,1486.5503348922211,4,1
1264,53,35,22,6,498.3670886613071,4,0
1265,36,78,5,3,466.8765511508817,5,1
1266,43,104,3,6,1900.100023708539,2,0
1267,20,50,8,5,60.241324083756865,3,0
1268,36,76,20,5,283.23360001203713,1,0
1269,37,90,10,2,1142.8131902714897,4,0
1270,49,27,13,8,1476.9805032032054,4,1
1271,24,25,3,5,1078.0927105550984,2,1
1272,69,68,22,11,713.3526723489439,4,0
1273,58,30,8,2,1956.0623581091704,2,0
1274,50,22,9,7,1409.1861068400274,1,0
1275,57,118,22,13,1663.6247279288227,2,0
1276,56,73,21,9,85.29251400546708,4,0
1277,35,71,12,9,475.66062039440044,2,0
1278,57,54,11,1,751.4713317152023,4,0
1279,18,144,2,7,369.2897891741447,5,0
1280,28,108,18,9,150.43404905474867,4,0
1281,45,58,9,6,454.057870866387,4,0
1282,42,94,2,1,1069.6030843179,4,0
1283,67,95,2,2,1393.011770471627,5,1
1284,40,16,3,4,1549.1717413153365,3,0
1285,48,129,16,14,90.65762896109555,4,0
1286,47,104,19,4,858.8324135641194,3,0
1287,59,37,4,2,248.8121092528078,1,0
1288,52,76,23,8,865.2447709571203,2,0
1289,24,127,18,2,870.7818189949887,3,0
1290,33,142,20,3,998.9323149909262,1,0
1291,43,76,18,14,1786.1970993951627,2,0
1292,65,52,10,4,1611.1655277350585,4,1
1293,69,75,11,9,1275.2580860471016,4,1
1294,66,143,17,10,1771.3876092523938,4,1
1295,19,136,24,1,1358.5448899267235,5,1
1296,18,124,23,8,1638.615646722335,5,1
1297,65,27,24,12,1129.7377104633326,5,0
1298,29,114,20,14,1052.8104120036467,5,0
1299,22,149,16,5,1449.5739993309076,1,0
1300,54,36,20,7,44.280177391623404,1,0
1301,49,88,13,8,1382.3032554046897,4,1
1302,26,146,2,5,1869.3638457167076,2,0
1303,58,37,24,8,1429.3144492543743,5,1
1304,52,133,2,10,78.4034799729509,2,0
1305,36,84,14,11,758.8818533415842,1,0
1306,65,98,4,8,1620.1146980312158,5,1
1307,33,115,17,9,1917.424057338618,1,0
1308,20,98,13,2,743.4758944945726,1,0
1309,37,42,4,3,1683.1821414744315,3,0
1310,41,15,3,1,1728.3007012265184,1,0
1311,50,77,12,4,250.95636665546976,4,0
1312,41,36,22,5,1692.3479911037812,1,0
1313,69,84,23,11,651.8785417990371,5,0
1314,28,139,8,1,1188.5092545230075,4,0
1315,66,110,2,8,1080.22942811606,1,0
1316,25,93,6,2,1327.7924581535606,4,1
1317,53,19,22,1,1482.2269786347367,1,0
1318,55,74,10,2,884.5577897490673,4,0
1319,57,134,12,13,1777.180090187519,2,0
1320,37,60,21,5,1619.9493510153147,3,0
1321,52,148,10,9,1571.9150798324802,4,1
1322,65,70,10,9,919.2024496589121,5,0
1323,42,124,23,2,79.95790725999727,3,0
1324,52,118,3,2,987.0515307259941,3,0
1325,42,91,20,3,1797.398840617645,1,0
1326,46,16,10,7,384.94806043700015,4,0
1327,35,22,9,11,1965.2719816611227,3,0
1328,63,89,20,3,1616.3427869262769,5,1
1329,35,139,19,1,1421.1104356027192,5,1
1330,19,52,14,14,1355.93411605503,5,1
1331,52,41,2,14,1176.1166344578564,1,0
1332,33,34,5,14,1442.7372948820184,2,0
1333,58,57,20,6,846.7015846575443,4,0
1334,53,45,8,3,1691.3497755001586,3,0
1335,50,105,7,1,1394.2101824100853,4,1
1336,21,75,6,14,1543.6499591972004,3,0
1337,50,123,11,13,1586.0124072211293,1,0
1338,31,105,12,4,188.67974118926057,4,0
1339,38,109,18,13,116.00334151203717,1,1
1340,65,27,19,1,1602.966807627048,1,0
1341,37,127,10,1,522.4711219713012,4,0
1342,25,49,21,12,1166.0297659860694,4,0
1343,24,62,14,2,890.2031561618776,3,0
1344,20,49,3,10,48.968211316930294,5,0
1345,34,100,18,8,85.36111004171161,1,0
1346,50,128,24,2,1655.1148583461975,2,0
1347,65,114,15,11,1217.3167351700042,3,0
1348,29,113,6,2,1050.0669420800054,3,0
1349,68,17,10,11,1888.9824065261419,5,1
1350,39,99,12,11,350.36447672804553,5,0
1351,39,139,7,10,519.651825119303,1,0
1352,63,97,17,10,1514.6944610800763,3,0
1353,47,39,1,8,1551.5942797760692,3,0
1354,55,82,18,12,812.7699068961331,2,0
1355,55,75,15,6,1902.2019771143011,1,0
1356,62,43,19,12,1876.8178825417654,1,0
1357,68,141,1,11,29.757381545018266,5,0
1358,25,33,5,4,348.79416516974646,1,0
1359,44,88,15,3,1641.3377861593233,2,0
1360,44,75,3,1,673.7572862278865,1,0
1361,51,34,1,11,195.44804400615763,4,0
1362,38,62,8,3,1571.0733529750491,4,1
1363,47,101,12,12,911.8940936225429,2,0
1364,50,124,22,14,987.3595194971668,5,0
1365,45,42,19,9,376.8069306882617,3,0
1366,64,73,12,5,1323.4856326081608,1,1
1367,50,147,13,13,1104.7264296546223,5,0
1368,22,65,1,6,417.31251088920624,5,0
1369,65,26,19,5,683.9613593362176,1,0
1370,36,64,6,1,1195.7741782356632,3,0
1371,21,146,8,10,1850.1201495896532,1,0
1372,52,127,4,1,1841.1508188913758,3,1
1373,66,28,5,4,579.3722792729785,2,0
1374,34,46,22,3,1472.5638506309704,3,0
1375,61,69,7,11,1552.160565645,5,1
1376,45,134,23,8,1618.6020844656755,2,0
1377,47,89,4,12,1143.6707580792026,4,0
1378,46,35,20,12,25.963456208677663,2,0
1379,63,147,4,7,1524.5441894652658,3,0
1380,23,101,15,11,217.66191240955334,2,0
1381,52,73,21,7,238.15841550970165,2,0
1382,58,103,5,8,1213.2214812790746,4,1
1383,54,97,24,14,1967.1234394454768,3,0
1384,41,79,9,10,488.8662491652707,5,0
1385,46,78,2,7,1293.392705702159,2,0
1386,66,85,7,10,610.789023246514,1,0
1387,63,18,17,2,1797.9585966530067,5,1
1388,48,118,16,4,1189.0661997671589,2,0
1389,52,107,17,11,418.9172686746594,5,0
1390,50,126,20,6,527.9514456386294,1,0
1391,69,133,23,3,867.7990571841514,5,0
1392,38,73,2,3,248.47690624947634,5,0
1393,49,57,11,6,162.0730696856459,1,0
1394,40,26,2,1,1361.7224845171725,1,0
1395,50,54,1,14,817.294298867795,1,0
1396,20,132,2,1,1453.8204547812027,4,1
1397,35,34,23,5,224.56610987305487,1,0
1398,42,145,9,1,1221.681768062686,5,1
1399,59,104,22,10,889.3970527726322,1,0
1400,48,108,2,8,120.70731564177198,2,1
1401,20,27,15,2,1091.8799466605738,1,0
1402,57,80,10,6,170.19452805551882,1,0
1403,63,51,15,10,1656.300896843061,3,0
1404,41,80,10,10,1265.7551434531076,5,1
1405,67,50,23,5,1116.1502298520945,5,0
1406,49,40,17,10,271.2706639169698,2,0
1407,64,89,9,12,578.4769414406455,4,0
1408,39,122,18,12,988.2874147849221,3,1
1409,40,57,4,4,1268.4006097111776,2,0
1410,19,22,9,1,370.5452838906004,2,0
1411,44,43,16,14,22.688224876578673,5,0
1412,59,54,4,14,692.7965736022447,3,0
1413,19,142,16,3,968.3285518397059,5,0
1414,43,98,19,13,372.9448436656221,4,0
1415,34,130,1,12,986.8701841811355,5,0
1416,57,76,23,4,680.2792878456911,1,0
1417,50,21,6,2,912.9038838822835,5,0
1418,26,59,10,12,698.178212404295,1,0
1419,60,102,16,2,1258.7933603246663,2,0
1420,65,87,4,2,90.5795369321755,4,0
1421,56,51,22,11,345.95605343882573,1,1
1422,46,133,22,1,868.3379838764441,4,0
1423,59,71,13,10,715.8119475259541,5,0
1424,43,22,16,2,786.305752127865,5,0
1425,52,109,20,6,1608.502586286557,2,0
1426,67,131,6,3,1773.2316582034946,5,1
1427,42,124,11,10,501.09422307765226,1,0
1428,41,34,24,5,1673.6001652711795,2,0
1429,30,138,3,1,920.2857812542638,4,0
1430,24,67,20,8,551.2721354760105,2,0
1431,53,133,10,13,1970.9848616543334,4,1
1432,62,26,1,4,1650.4795739111637,3,0
1433,37,31,20,9,1988.5353715776394,1,0
1434,18,78,11,4,340.540614934368,1,0
1435,25,56,12,14,291.966134525978,4,0
1436,63,108,14,2,1009.2390161237573,5,0
1437,33,25,8,3,1279.0943012689352,5,1
1438,31,112,11,5,346.2648846040365,3,0
1439,29,85,4,12,1721.5591828366425,4,1
1440,68,122,7,10,1066.36688993341,3,0
1441,40,72,10,13,824.8289572751917,4,0
1442,32,48,19,13,1206.0970774894552,3,0
1443,45,34,4,14,1271.732657379717,4,1
1444,51,64,2,6,90.3526455626693,1,0
1445,19,116,21,7,1999.7858700765732,3,0
1446,49,66,18,4,731.0195557249286,3,0
1447,40,29,14,7,127.7775805852429,4,0
1448,39,98,16,10,1705.3847336771528,2,0
1449,68,145,22,3,1986.072265028563,2,0
1450,42,51,11,7,1633.6352258861,1,0
1451,39,140,10,4,1704.5055672703922,5,1
1452,39,54,17,13,1253.7405528678046,5,1
1453,66,86,14,13,1845.0395285507611,1,0
1454,69,54,22,8,76.29841069629774,5,0
1455,59,70,4,9,1534.614106593631,4,1
1456,23,118,19,7,1343.0669055264807,2,0
1457,32,124,2,8,103.92201619538446,1,0
1458,60,107,7,8,1090.2272900580763,4,0
1459,54,108,9,2,1032.5453897869497,1,0
1460,50,70,19,9,1384.6107790285685,2,0
1461,25,74,16,6,159.67516616029923,5,0
1462,61,53,22,11,1611.5311767301819,4,1
1463,61,42,16,4,283.10986681295185,2,0
1464,22,63,18,5,840.2359038564359,1,0
1465,56,139,23,10,1763.169574965764,3,1
1466,21,27,21,5,1123.2605529635152,4,0
1467,23,50,21,7,762.2838729406949,1,0
1468,62,115,11,14,101.16347288144439,1,0
1469,49,40,7,9,1346.1856668174348,2,0
1470,69,100,9,7,1973.160796787034,1,0
1471,47,18,4,9,1824.033815522974,4,1
1472,64,96,13,4,1436.0056747589888,4,1
1473,52,141,4,10,215.05925222061035,1,0
1474,57,102,19,14,482.6829863337864,2,0
1475,69,141,2,10,377.76379380930763,4,0
1476,33,134,9,4,714.1459723100124,3,0
1477,30,36,12,6,474.85686944411333,5,0
1478,67,144,2,8,492.65669471352794,2,0
1479,59,45,6,14,1235.3762210739342,2,0
1480,47,133,5,9,640.8117986429601,5,0
1481,36,25,5,1,1355.9399385625838,5,1
1482,34,60,20,1,1896.0398699966302,4,1
1483,36,110,22,13,1278.7634436434118,1,0
1484,45,24,5,8,1504.5550710346906,1,0
1485,43,142,4,11,1504.4029284892617,3,0
1486,54,113,9,7,664.7520628566255,1,1
1487,43,126,22,9,34.84119921390382,3,0
1488,40,74,10,11,114.8206861734578,3,0
1489,26,101,16,3,567.7102005146941,2,0
1490,29,79,10,10,1380.638651396908,2,0
1491,18,71,10,12,1813.8328616033436,4,1
1492,18,120,19,5,1917.8025330705389,5,1
1493,64,23,10,3,56.56808436094653,5,0
1494,51,36,6,5,1980.2240550373785,3,0
1495,49,103,17,10,648.381950621604,5,0
1496,65,32,5,1,1686.697675329055,3,0
1497,42,129,6,14,364.68944409007685,5,0
1498,57,120,24,11,130.48202392568408,4,0
1499,62,29,15,4,759.8190710050616,2,0
1500,18,77,19,6,1718.5561501187326,2,0
1501,33,27,18,2,445.545707176243,3,0
1502,56,95,4,13,312.14486487492513,5,0
1503,22,46,8,7,1820.05963625563,1,0
1504,39,54,16,8,1876.9827192298108,4,1
1505,46,96,24,1,30.033657381873308,5,0
1506,20,91,19,13,1456.2342961438858,1,0
1507,29,90,20,4,621.8694343760067,4,1
1508,43,52,3,11,752.5352180845432,4,0
1509,33,85,10,4,940.8604350282224,2,0
1510,68,62,2,13,856.4479854981664,3,0
1511,54,32,4,5,1032.3727010393,5,0
1512,39,53,6,14,1166.8116229013324,4,0
1513,46,103,11,12,933.8630321516588,5,0
1514,31,76,14,12,1404.6192632765874,4,1
1515,45,123,16,4,1438.6103173700733,2,0
1516,22,95,21,9,883.5165988652592,3,0
1517,64,148,19,7,289.2139804337816,1,1
1518,66,91,2,13,1283.0746480336447,1,0
1519,47,104,17,2,1547.0486411396644,2,0
1520,63,28,9,1,1278.0284948018796,4,1
1521,69,109,17,9,1178.1692578643972,2,0
1522,22,68,15,1,462.6769225130396,3,0
1523,29,146,7,6,1292.0483964344203,1,0
1524,33,53,22,2,673.0381480795428,5,0
1525,43,86,23,4,1839.5199313125036,1,0
1526,43,39,19,6,1309.1715850561616,3,0
1527,65,91,3,5,559.9684550330638,4,0
1528,38,134,1,11,948.4891841810406,2,0
1529,56,67,4,6,1693.9296453906636,1,0
1530,53,145,18,3,674.2505826093817,1,1
1531,50,110,8,5,1053.2539374540004,5,0
1532,47,86,19,2,1360.9415966367876,2,0
1533,54,76,23,7,1510.2860309593495,5,1
1534,40,20,23,3,351.914889254166,5,0
1535,27,46,6,1,1132.4788478311916,4,0
1536,22,113,1,14,1824.8388014899217,1,0
1537,53,145,8,8,1936.8777641118395,2,0
1538,51,90,1,8,1314.0093599059196,4,1
1539,69,73,19,3,1967.4033042991714,4,1
1540,48,45,11,13,1143.616821707401,4,0
1541,27,107,21,7,887.997034412962,3,0
1542,36,83,24,9,1105.4169806017505,3,0
1543,49,66,15,8,235.84622655572656,4,0
1544,18,103,23,3,806.4232597723486,3,0
1545,22,141,11,13,919.5180807959048,2,0
1546,62,45,19,2,1698.0124584483515,1,0
1547,21,98,21,13,1518.5039425211821,2,0
1548,33,141,10,10,1204.8460375234774,1,0
1549,41,146,24,7,697.8180835781585,3,0
1550,33,27,12,7,378.13399845685086,2,0
1551,19,59,1,9,698.7912167246827,5,0
1552,66,141,24,5,1361.209121563468,4,1
1553,45,128,7,4,529.760409174641,1,0
1554,49,34,17,8,856.638957939786,1,0
1555,44,95,10,14,776.6066185889557,5,0
1556,37,143,6,4,1532.352177263165,5,1
1557,41,31,17,4,1768.155189208988,4,1
1558,29,72,18,12,1400.245058837899,3,0
1559,67,86,5,14,686.496510561403,2,0
1560,52,123,18,12,869.1882127068951,2,0
1561,50,37,17,2,290.98355733717426,2,0
1562,50,86,22,13,340.35440829438664,3,0
1563,68,22,16,1,332.76367221539743,4,0
1564,60,73,8,4,265.51978333481384,2,0
1565,54,125,24,7,363.2645508757147,1,0
1566,29,27,13,12,409.36296414382343,1,0
1567,20,30,24,9,228.13265787627765,1,0
1568,18,133,16,9,1282.320140159033,5,1
1569,50,16,11,12,1980.8510614914883,5,1
1570,57,44,6,10,1758.977555581251,3,0
1571,27,117,3,1,95.97743403304199,2,0
1572,60,27,1,5,849.0023243474659,5,0
1573,61,110,18,7,1719.3246055693808,1,0
1574,46,108,5,13,273.6762618940329,5,0
1575,30,96,13,7,1696.052067570825,1,0
1576,29,27,10,10,1187.437772486609,2,0
1577,48,108,5,6,1862.9406124292432,3,1
1578,63,126,14,11,1752.698032957528,4,1
1579,19,69,17,10,1355.6834725071415,4,1
1580,68,95,1,4,1317.3562064460275,1,0
1581,67,130,2,3,430.2625837718567,5,0
1582,52,122,7,12,237.92216948022704,5,0
1583,40,67,10,13,833.7098927877527,1,0
1584,34,142,20,9,377.2271787887839,2,0
1585,43,71,7,12,209.3213517671291,1,0
1586,25,66,24,13,608.1418328794225,2,0
1587,46,125,16,10,1721.6774358793136,3,0
1588,43,15,5,4,39.21056726663065,3,0
1589,27,58,12,8,588.8121750357404,1,0
1590,43,89,17,13,850.9841095029121,3,0
1591,51,112,16,1,1023.5866504824967,5,0
1592,68,23,20,7,367.24712922406354,2,0
1593,58,46,16,12,1928.619298676872,4,1
1594,24,29,19,6,1159.851721926518,4,0
